shopify_gid,handle,sku,old_name,new_name,matched_png_fileid,confidence,bucket,top_similarity,chosen_index,candidate_names
,0-cross-stitch-black-embroidered-icon,ICON-45923952034049,0 Cross Stitch Black Embroidered Icon,Cross Stitch C,1mjtg_amUbRbiOQ9ySet7h_ftNoAUqd8E,high,High confidence,0.9531,4,Cross Stitch G | Cross Stitch U | Cross Stitch A | Cross Stitch D | Cross Stitch C | Cross Stitch W | Cross Stitch Q | Cross Stitch O | Cross Stitch V | Cross Stitch B | Cross Stitch M | Cross Stitch P
,v2-botox-needle,ICON-45782316646657,Botox Needle Embroidered Icon,,,high,No match - likely cut,0.6340,-1,Cigarette | Olive on Toothpick | Pink Lighter | Two Olives on Toothpick | Pink Sunglasses | Lipstick | Wine Bottle | Lighter | Pills | Howdy | Three Olives on Toothpick | Topo Chico
,v2-bow3,ICON-45782316744961,Bow3 Embroidered Icon,,,low,No match - likely cut,0.8216,-1,Long Bow | Candy Cane Bow | Clover | Rose | Abbode Bow | Charleston Palm Tree | Red Rose | Cactus | Pink Flower | Golf Clubs | Bikini | Charleston SC Palm Tree
,boxer-embroidered-icon,ICON-45851584102657,Boxer Embroidered Icon,,,low,No match - likely cut,0.9309,-1,Boxer | Belgian Malinois | Doberman | Boston Terrier | Great Dane | Cane Corso | Husky | German Shepherd | Ski Boxer | Pit Bull | Rottweiler | Ski Rottweiler
,v2-bread,ICON-45782316843265,Bread Embroidered Icon,,,low,No match - likely cut,0.5833,-1,Plane Window | Ski Goggles | Espresso | Spicy Marg | Needlepoint | Locket Filled | Coffee | Locket Filled Bow | Brown Sunglasses | Steak | Yacht Flag E | Oyster
,v2-brocoli-fixed,ICON-45782316941569,Brocoli Fixed Embroidered Icon,,,low,No match - likely cut,0.8564,-1,Broccoli | Red Rose | Rose | Purple Hydrangea | Bikini | Blue Hydrangea | Pink Hydrangea | Cactus | Vine Tomatoes | Cowgirl Hat | Steak | Cherries
,v2-broken-heart,ICON-45784345280769,Broken Heart Embroidered Icon,Broken Heart,1tMwbIki3MSzOOZ43GK9Gx7KACvx2_buf,high,High confidence,0.7590,0,Broken Heart | Heart Suit | Austin Heart | Dallas Heart | New York Heart | Chicago Heart | LA Heart | Heart | Boston Heart | San Diego Heart | San Francisco Heart | Doberman Locket
,v2-burger,ICON-45782317039873,Burger Embroidered Icon,Burger,1QVT3tLYLQAlMjsWPWXDXGLYE1RXuIPqW,high,High confidence,0.9018,0,Burger | Bagel & Lox | Shrimp Sashimi | Hot Dog | Red Mushroom | Bagel | Donut | Sushi Nigiri | Cowgirl Hat | Chicago Hot Dog Script | New York Hot Dog | Taco
,v2-butter,ICON-45782317138177,Butter Embroidered Icon,,,low,No match - likely cut,0.7288,-1,Butter | MetroCard | Boarding Pass | New York Pennant | Needlepoint | Boston Pennant | San Diego Pennant | San Francisco Pennant | Dallas Pennant | Pink Suitcase | Austin Pennant | LA Pennant
,butterfly-embroidered-icon,ICON-46315985928449,Butterfly Embroidered Icon,,,low,No match - likely cut,0.9656,-1,Butterfly | Abbode Bow | Long Bow | Candy Cane Bow | Cape Cod Stamp | Boston Clover | Lobster | Claw Clip | Locket Filled Bow | Locket Filled | Flip Flops | Candy Cane Heart
,c-cheetah-embroidered-icon,ICON-46172396847361,C Cheetah Embroidered Icon,Cheetah C,1Fw0rjcWkV298aQet_uvnzPinkMKnIF8k,high,High confidence,0.9865,0,Cheetah C | Cheetah O | Cheetah Q | Cheetah S | Cheetah Z | Cheetah G | Cheetah J | Cheetah U | Cheetah P | Cheetah D | Cheetah B | Cheetah L
,c-cross-stitch-black-embroidered-icon,ICON-45923676717313,C Cross Stitch Black Embroidered Icon,,,low,No match - likely cut,0.9476,-1,Cross Stitch G | Cross Stitch A | Cross Stitch Z | Cross Stitch C | Cross Stitch E | Cross Stitch L | Cross Stitch P | Cross Stitch V | Cross Stitch U | Cross Stitch Q | Cross Stitch R | Cross Stitch D
,c-cross-stitch-red-embroidered-icon,ICON-45923617374465,C Cross Stitch Red Embroidered Icon,,,low,No match - likely cut,0.9476,-1,Cross Stitch G | Cross Stitch Z | Cross Stitch A | Cross Stitch C | Cross Stitch E | Cross Stitch L | Cross Stitch P | Cross Stitch V | Cross Stitch U | Cross Stitch Q | Cross Stitch R | Cross Stitch D
,v2-cactus,ICON-45782317302017,Cactus Embroidered Icon,Cactus,1kZOV0grtKJe1FXvf0rj2G_ICaijGvbrE,high,High confidence,0.9079,0,Cactus | Treble Cleff | Lobster | Bikini | Watermelon | Bikini Polka Dot | Red Rose | Vine Tomatoes | Candy Cane Bow | XOXO | Rosebud | Rose
,v2-call-me-heart,ICON-45782317400321,Call Me Heart Embroidered Icon,Call Me Heart,17mAJCkGHnXvU3LW2V9G28yDlbjkw-5pH,high,High confidence,0.9165,1,XOXO Heart Blue | Call Me Heart | XOXO Heart Pink | Love You Heart | LA Heart | New York Heart | Austin Heart | San Francisco Heart | San Diego Heart | Boston Heart | Dallas Heart | Chicago Heart
,candy-cane-bow-embroidered-icon,ICON-46892774719745,Candy Cane Bow Embroidered Icon,,,low,No match - likely cut,0.9267,-1,Candy Cane Bow | Candy Cane Heart | Crossed Candy Canes | Abbode Bow | Long Bow | Bandana X | Bandana K | Pretzel | Pickleball Paddles | Treble Cleff | I Love SF | Brown Mushroom
,candy-cane-embroidered-icon,ICON-46892774850817,Candy Cane Embroidered Icon,,,high,No match - likely cut,0.7721,-1,Candy Cane Bow | Candy Cane Heart | Crossed Candy Canes | Cheetah J | Bass Cleff | Scorpio | California Border | I Love SF | Bandana J | Cheetah Z | Cheetah S | Cheetah C
,candy-cane-heart-embroidered-icon,ICON-46892774949121,Candy Cane Heart Embroidered Icon,Candy Cane Heart,1cE4hmHozijaGthvENcpLblWlNhXhRbkP,high,High confidence,0.9401,0,Candy Cane Heart | Crossed Candy Canes | Candy Cane Bow | Pretzel | Bass Cleff | I Love SF | I Love CHS | Locket Filled Bow | Heart Suit | Golf Clubs | Cheetah V | Heart Outline
,cane-corso-dog-200-embroidered-icon,ICON-46286592311553,Cane Corso Dog 200 Embroidered Icon,,,low,No match - likely cut,0.8981,-1,Cane Corso | Great Dane | Belgian Malinois | Chocolate Lab | Rottweiler | Black Lab | Chihuahua | Doberman | Vizsla | Husky | Ski Cane Corso | Boxer
,v2-cards,ICON-45784345379073,Cards Embroidered Icon,,,low,No match - likely cut,0.5758,-1,Cards | Needlepoint | Coffee | Envelope | Fries | Ace of Hearts | Pink Suitcase | Jack of Hearts | Nantucket Basket | Popcorn | Dice | Diamond
,cavalier-king-charles-spaniel-dog-tricolor-200-embroidered-icon,ICON-46286595195137,Cavalier King Charles Spaniel Dog Tricolor 200 Embroidered Icon,,,low,No match - likely cut,0.9063,-1,Black Cavalier | Orange Cavalier | Ski Black Cavalier | Blue Roan English Cocker Spaniel | Ski Orange Cavalier | Dark Brown and White Basset Hound | Shorthair Shi Tzu | English Shepherd | Brown and White Basset Hound | Longhair Shi Tzu | Beagle | Black Cavalier Locket
,cocker-spaniel-embroidered-icon,ICON-45851586527489,Cavalier King Charles Spaniel Embroidered Icon,,,low,No match - likely cut,0.9338,-1,Orange Cavalier | Black Cavalier | Ski Black Cavalier | Blue Roan English Cocker Spaniel | Ski Orange Cavalier | Dark Brown and White Basset Hound | Brown and White Basset Hound | Cocker Spaniel | English Shepherd | Ski Brown And White Basset Hound | Beagle | Shorthair Shi Tzu
,v2-caviar-fixed,ICON-45782317498625,Caviar Fixed Embroidered Icon,,,low,No match - likely cut,0.8519,-1,Caviar | 8 Ball | Bandana G | Bandana O | Adderall | Soy Sauce | Round Evil Eye | Bandana Q | I Love DTX | Smiley Face | Boarding Pass | Blue Plaid Q
,v2-champagne-bottle,ICON-45782317596929,Champagne Bottle Embroidered Icon,,,low,No match - likely cut,0.8124,-1,Champagne Bottle | Wine Bottle | Nail Polish | Topo Chico | Aperol Bottle | Lipstick | Hot Sauce | Lighter | Pink Lighter | Sriracha | Ozempic Vial | Makeup Brushes
,v2-champagne,ICON-45782317695233,Champagne Embroidered Icon,,,low,No match - likely cut,0.8217,-1,Champagne Glasses | Christmas Cocktail | Margarita | Red Wine | Espresso Martini | Cosmopolitan | White Wine | Aperol Spritz | Lingerie | Red Rose | Long Bow | Rose
,v2-cheese,ICON-45782317793537,Cheese Embroidered Icon,,,low,No match - likely cut,0.6842,-1,Cheese | Pizza | NY Pizza | Oyster | Hot Dog | Boston Cannoli | Brown Sunglasses | Sushi Nigiri | Smile Pancakes | Taco | Vine Tomatoes | Egg
,v2-cherries,ICON-45782317891841,Cherries Embroidered Icon,,,low,No match - likely cut,0.8237,-1,Cherries | Apple | Two Olives on Toothpick | Beamed Sixteenth Note | Three Olives on Toothpick | New York Apple | Locket Filled Bow | Locket Filled | Lock & Key | Vine Tomatoes | Bikini | Eighth Note
,chihuahua-embroidered-icon,ICON-45851584594177,Chihuahua Embroidered Icon,,,low,No match - likely cut,0.8368,-1,Chihuahua | Great Dane | Belgian Malinois | Cane Corso | Grey Short Hair Cat | Orange Short Hair Cat | White Short Hair Cat | White Pit Bull | Shiba Inu | Sphynx Cat | Grey Long Hair Cat | Black Short Hair Cat
,v2-chocolate-ice-cream,ICON-45782317990145,Chocolate Ice Cream Embroidered Icon,Chocolate Ice Cream,1s-pGvtfZ7QP6BESUCYqkEkammX7of_dO,high,High confidence,0.8345,1,Ice Cream | Chocolate Ice Cream | Swirl Ice Cream | Coffee | LA Smoothie | Boston Dunkin | Ralph's Iced Coffee | Ralph's Coffee | Christmas Tree | Pink Lighter | Takeout | Charleston Pineapple
,christmas-cocktail-embroidered-icon,ICON-46892775080193,Christmas Cocktail Embroidered Icon,,,low,No match - likely cut,0.9222,-1,Christmas Cocktail | Espresso Martini | Margarita | Cosmopolitan | Red Wine | Martini | White Wine | Aperol Spritz | Champagne Glasses | Makeup Brushes | Pink Tennis Raquets | Red Rose
,christmas-presents-embroidered-icon,ICON-46892775211265,Christmas Presents Embroidered Icon,,,high,No match - likely cut,0.6186,-1,Vine Tomatoes | Candy Cane Bow | Lighter | Brown Sunglasses | Scorpio | Red Hot Chocolate | Green Hot Chocolate | Tomato | Locket Filled Bow | Rosebud | Abbode Bow | Pink Lighter
,christmas-tree-embroidered-icon,ICON-46892775342337,Christmas Tree Embroidered Icon,,,low,No match - likely cut,0.9515,-1,Christmas Tree | Bikini Polka Dot | Bandana A | Statue of Liberty | Charleston Pineapple | Bandana Texas | Bandana Star | Vine Tomatoes | Star | Bikini | Cross Stitch T | Cross Stitch I
,christmas-tree-truck-embroidered-icon,ICON-46892775440641,Christmas Tree Truck Embroidered Icon,,,low,No match - likely cut,0.8810,-1,Christmas Tree Truck | Bronco | Convertible | Convertible Beetle | Tree Taxi | Taxi | LA Vintage Car | Moped | Taxi Snowglobe | Golf Cart | Martha's Vineyard Stamp | Grey Rolling Suitcase
,v2-cigarette,ICON-45782318088449,Cigarette Embroidered Icon,,,low,No match - likely cut,0.7469,-1,Cigarette | Pink Lighter | Matches | Olive on Toothpick | Lipstick | Lighter | Pills | Topo Chico | Golf Clubs | Pink Sunglasses | Two Olives on Toothpick | Snowboard
,v2-claw-clip,ICON-45782361866497,Claw Clip Embroidered Icon,,,low,No match - likely cut,0.8459,-1,Claw Clip | Fish Bone | Chicago Hot Dog Print | Joint | New York Hot Dog | Locket Filled Bow | Chicago Hot Dog Script | Texas Outline | Charleston SC Palm Tree | Dog Paws | Hot Dog | Cape Cod Stamp
,v2-clover,ICON-45782318186753,Clover Embroidered Icon,Clover,1Aal4G6Pt-pMgkp7IkRGlHr11TY-9P4qI,high,High confidence,0.8552,0,Clover | Boston Clover | Hibiscus | Pink Flower | Rose | Charleston Palm Tree | Yellow Flower | Locket Filled Bow | Candy Cane Bow | Vine Tomatoes | Daisy | Red Rose
,v2-club-suit,ICON-45782318285057,Club Suit Embroidered Icon,,,low,No match - likely cut,0.6591,-1,Gingerbread Man | Abbode Bow | Brown Mushroom | Candy Cane Bow | Clover | I Love NY | Boston Clover | Anchor | Lock & Key | Red Mushroom | Candy Cane Heart | I Love SF
,cocker-spaniel-dog-200-embroidered-icon,ICON-46286597685505,Cocker Spaniel Dog 200 Embroidered Icon,,,low,No match - likely cut,0.9097,-1,Cocker Spaniel | Yellow Lab | Tan Longhair Dachshund | Brown Longhair Dachshund | Golden Retriever | Ski Cockerspaniel | Chocolate Lab | Black Longhair Dachshund | Black and Tan Longhair Dachshund | Black Lab | Blue Roan English Cocker Spaniel | Ski Golden Retriever
,v2-cocktail1,ICON-45782318383361,Cocktail1 Embroidered Icon,,,low,No match - likely cut,0.7982,-1,Negroni | Spicy Marg | Old Fashioned | Charleston Iced Tea | LA Smoothie | Diet Coke | Boston Dunkin | Pink Lighter | Lighter | Tomato | Pink Suitcase | Nantucket Basket
,v2-cocktail2,ICON-45782318481665,Cocktail2 Embroidered Icon,,,low,No match - likely cut,0.8744,-1,Margarita | Cosmopolitan | Aperol Spritz | Christmas Cocktail | Espresso Martini | Red Wine | Martini | White Wine | Red Rose | Rose | Champagne Glasses | Western Saddle
,v2-cocktail3,ICON-45782318579969,Cocktail3 Embroidered Icon,,,low,No match - likely cut,0.8677,-1,Old Fashioned | Negroni | Spicy Marg | Charleston Iced Tea | Diet Coke | Espresso | Red Rolling Suitcase | Ski Lift | Peach | Green Hot Chocolate | Pink Suitcase | Red Hot Chocolate
,v2-coffee1,ICON-45782318678273,Coffee1 Embroidered Icon,,,low,No match - likely cut,0.9205,-1,Coffee | Ice Cream | Boston Dunkin | LA Smoothie | Chocolate Ice Cream | Swirl Ice Cream | Popcorn | Fries | Ralph's Iced Coffee | Sunscreen | Chicago Popcorn | Pill Bottle
,convertible-beetle-embroidered-icon,ICON-46316000542977,Convertible Beetle Embroidered Icon,,,low,No match - likely cut,0.9019,-1,Convertible Beetle | Convertible | Christmas Tree Truck | Taxi | Tree Taxi | Bronco | Moped | LA Vintage Car | Golf Cart | Taxi Snowglobe | Martha's Vineyard Stamp | Grey Rolling Suitcase
,convertible-embroidered-icon,ICON-46316013551873,Convertible Embroidered Icon,Convertible,1XlR7ynV2J3MC3_OS3IJKbMsGrXD3vL3X,high,High confidence,0.9512,0,Convertible | Convertible Beetle | Taxi | LA Vintage Car | Tree Taxi | Moped | Christmas Tree Truck | Bronco | Golf Cart | Taxi Snowglobe | Martha's Vineyard Stamp | Grey Rolling Suitcase
,corgi-embroidered-icon,ICON-45851587150081,Corgi Embroidered Icon,,,low,No match - likely cut,0.8843,-1,Corgi | Ski Corgi | Beagle | Black and Tan Shorthair Dachshund | Tan Shorthair Dachshund | Brown Shorthair Dachshund | Ski Black and Tan Shorthair Dachshund | Husky | Ski Border Collie | Schnauzer | Chihuahua | Border Collie
,v2-corndog,ICON-45782318776577,Corndog Embroidered Icon,,,low,No match - likely cut,0.5851,-1,Three Olives on Toothpick | Two Olives on Toothpick | Hot Dog | Wine Bottle | Sun Tan Lotion | Four Olives on Toothpick | Sriracha | Eggplant | Pepper | Pink Lighter | Soy Sauce | Lighter
,v2-cowboy-boot-blue,ICON-45782318874881,Cowboy Boot Blue Embroidered Icon,,,low,No match - likely cut,0.8841,-1,Cowboy Boot | Ice Skate | Ugg Boots | Ski Boot | Boston Red Sock | Apple Core | Stocking | Bandana P | Bandana Texas | Vine Tomatoes | Bandana B | Cactus
,v2-cowboy-boot-brown,ICON-45784345477377,Cowboy Boot Brown Embroidered Icon,,,low,No match - likely cut,0.8952,-1,Cowboy Boot | Ice Skate | Ugg Boots | Ski Boot | Boston Red Sock | Stocking | Apple Core | Cactus | Charleston Iced Tea | Cowboy Hat | Vine Tomatoes | Boston Dunkin
,v2-cowboy-boot-pink,ICON-45784345575681,Cowboy Boot Pink Embroidered Icon,,,low,No match - likely cut,0.8602,-1,Cowboy Boot | Ice Skate | Ski Boot | Boston Red Sock | Stocking | Ugg Boots | Apple Core | Pepper | California Border | Texas Outline | Charleston Iced Tea | Aperol Bottle
,v2-cowboy-hat-brown,ICON-45784345673985,Cowboy Hat Brown Embroidered Icon,,,low,No match - likely cut,0.8814,-1,Cowboy Hat | Boston Cannoli | Chicago Baseball Cap | Santa Hat | Boston Baseball Cap | Taco | Cowgirl Hat | Ugg Boots | Oyster | New York Hot Dog | Lingerie | Chicago Hot Dog Script
,v2-cowgirl-hat,ICON-45784345968897,Cowgirl Hat Embroidered Icon,,,low,No match - likely cut,0.8386,-1,Cowgirl Hat | Western Saddle | Hot Dog | Rose | Blue Hydrangea | Vine Tomatoes | Boston Cannoli | Oyster | Pink Hydrangea | Claw Clip | Red Rose | Umbrella
,crab-embroidered-icon,ICON-46316011847937,Crab Embroidered Icon,,,low,No match - likely cut,0.9205,-1,Crab | Lobster | Shrimp | Fish Bone | Locket Filled Bow | Tomato | Abbode Bow | Cape Cod Stamp | Rosebud | Smiley Face | Swans | Bikini
,v2-croissant,ICON-45782321332481,Croissant Embroidered Icon,Croissant,12oi4Rlqf0n3b5_khWnpICBZHBGf2eHyS,high,High confidence,0.8001,0,Croissant | Taco | Shrimp Sashimi | Wave | Banana | Sushi Nigiri | Claw Clip | Texas Outline | Ice Cream | Rosebud | Blue Plaid Q | Swirl Ice Cream
,crossed-candy-canes-embroidered-icon,ICON-46892775571713,Crossed Candy Canes Embroidered Icon,,,low,No match - likely cut,0.8750,-1,Crossed Candy Canes | Candy Cane Bow | Candy Cane Heart | Pretzel | Bandana X | Golf Clubs | I Love SF | Bass Cleff | Bandana K | Abbode Bow | Cheetah X | Brown Mushroom
,d-cheetah-embroidered-icon,ICON-46172397830401,D Cheetah Embroidered Icon,Cheetah D,1h_H7ayn8n2E8b4eiF9960wNRrKoI75vG,high,High confidence,0.9859,0,Cheetah D | Cheetah P | Cheetah B | Cheetah G | Cheetah U | Cheetah R | Cheetah F | Cheetah L | Cheetah T | Cheetah C | Cheetah H | Cheetah Z
,d-cross-stitch-black-embroidered-icon,ICON-45923677077761,D Cross Stitch Black Embroidered Icon,,,low,No match - likely cut,0.9480,-1,Cross Stitch A | Cross Stitch G | Cross Stitch W | Cross Stitch U | Cross Stitch Z | Cross Stitch R | Cross Stitch D | Cross Stitch N | Cross Stitch V | Cross Stitch E | Cross Stitch Q | Cross Stitch M
,d-cross-stitch-red-embroidered-icon,ICON-45923617505537,D Cross Stitch Red Embroidered Icon,,,low,No match - likely cut,0.9478,-1,Cross Stitch A | Cross Stitch G | Cross Stitch W | Cross Stitch U | Cross Stitch R | Cross Stitch Z | Cross Stitch N | Cross Stitch D | Cross Stitch V | Cross Stitch E | Cross Stitch Q | Cross Stitch B
,dachsund-brown-embroidered-icon,ICON-45851589214465,Dachsund Brown Embroidered Icon,Brown Shorthair Dachshund,1r6ISIo8qAdF8xrknShwMGAT2dwEtrzgo,high,High confidence,0.7897,4,Brown Longhair Dachshund | Chocolate Lab | Black Lab | Black Longhair Dachshund | Brown Shorthair Dachshund | Tan Longhair Dachshund | Golden Retriever | Yellow Lab | Tan Shorthair Dachshund | Black Dachshund | Black Shorthair Dachshund | Black and Tan Longhair Dachshund
,v2-daisy1,ICON-45784346067201,Daisy1 Embroidered Icon,,,low,No match - likely cut,0.8512,-1,Daisy | Pink Flower | Yellow Flower | Cherry Blossom | Sun | Hibiscus | Boston Clover | Clover | Summer Sun | Candy Cane Bow | Abbode Bow | Lemon Slice
,dalmatian-embroidered-icon,ICON-45851626897665,Dalmatian Embroidered Icon,,,low,No match - likely cut,0.9308,-1,Dalmatian | Spotted Pit Bull | German Shorthair Pointer | Ski Dalmatian | Italian Greyhound | Ski German Shorthair Pointer | Vizsla | White Pit Bull | Belgian Malinois | Husky | Brittany Spaniel | Great Dane
,dark-grey-frenchie-dog-embroidered-icon,ICON-46416409559297,Dark Grey Frenchie Dog Embroidered Icon,,,low,No match - likely cut,0.8905,-1,Dark Grey Frenchie | Tan Frenchie | Tan and Dark Grey Frenchie | Black Pug | Cane Corso | Chihuahua | Ski Tan Frenchie | White and Grey Frenchie | Rottweiler | Ski Tan And Grey Frenchie | Brown Doodle | Ski White Frenchie
,daschund-embroidered-icon,ICON-45851589902593,Daschund Embroidered Icon,,,low,No match - likely cut,0.7719,-1,Yellow Lab | Tan Longhair Dachshund | Brown Longhair Dachshund | Golden Retriever | Tan Shorthair Dachshund | Cocker Spaniel | Ski Golden Retriever | Brown Shorthair Dachshund | Chocolate Lab | Ski Brown Longhair Dachshund | Ski Blonde Longhair Dachshund | Black Lab
,v2-diamond,ICON-45782321430785,Diamond Embroidered Icon,,,low,No match - likely cut,0.7204,-1,Diamond | Coffee | Envelope | Blue Plaid V | Boston Dunkin | Watermelon Slice | Heart Dice | Nantucket Basket | Popcorn | Needlepoint | Ice Cream | Espresso Martini
,v2-diamond-suit,ICON-45782321529089,Diamond Suit Embroidered Icon,,,low,No match - likely cut,0.7835,-1,Yacht Flag F | Yacht Flag B | Yacht Flag A | Diamond | Yacht Flag Z | Envelope | Yacht Flag O | Star | Ace of Hearts | Yacht Flag V | Bandana A | Cross Stitch Arrow Heart
,v2-dice-fixed,ICON-45782321627393,Dice Fixed Embroidered Icon,Dice,1FUmFfa7-uVfoq8sZGhqukcml39b7EJg9,high,High confidence,0.8901,0,Dice | Heart Dice | Cards | Diamond | Ace of Hearts | Jack of Hearts | Cheese | Queen of Hearts | King of Hearts | Soccer Ball | Matcha | Cross Stitch F
,diet-coke-embroidered-icon,ICON-46943064719617,Diet Coke Embroidered Icon,,,low,No match - likely cut,0.8608,-1,Diet Coke | Ozempic Vial | Sriracha | Topo Chico | MetroCard | Ski Pass | Pill Bottle | Ralph's Coffee | Call Me Heart | Boarding Pass | King of Hearts | Love You Heart
,doberman-dog-200-embroidered-icon,ICON-46286600143105,Doberman dog 200 Embroidered Icon,Doberman,1-h-pij0Y3sWVpVBHRAQDhMopOt3H7rMx,high,High confidence,0.9103,0,Doberman | Ski Doberman | Belgian Malinois | Great Dane | Boxer | Cane Corso | Shiba Inu | Rottweiler | Pit Bull | German Shepherd | Vizsla | Boston Terrier
,v2-domino1,ICON-45782321725697,Domino1 Embroidered Icon,,,low,No match - likely cut,0.5493,-1,Queen of Hearts | Heart Pizza | King of Hearts | Pills | Ace of Hearts | Mahjong Tiles | Pink Plaid B | Strawberry Candy | Jack of Hearts | Cross Stitch R | Cross Stitch Z | Cross Stitch H
,v2-domino2,ICON-45782321824001,Domino2 Embroidered Icon,,,low,No match - likely cut,0.6446,-1,Queen of Hearts | King of Hearts | Ace of Hearts | Jack of Hearts | Pink Plaid B | Mahjong Tiles | Cheetah P | Strawberry Candy | Cheese | Cheetah B | Ski Pass | Pills
,v2-donut,ICON-45782321922305,Donut Embroidered Icon,,,low,No match - likely cut,0.8190,-1,Donut | Bagel | Bagel & Lox | Smile Pancakes | Bandana O | Pills | Sun | Round Evil Eye | Blue Plaid O | Chicago Bean | Hot Dog | Volleyball
,dreidel-embroidered-icon,ICON-46892775735553,Dreidel Embroidered Icon,,,low,No match - likely cut,0.5954,-1,Pink Lighter | Ski Pass | Holiday Shopping Bag | I Love SF | Lighter | Anchor | Sun Tan Lotion | Blue Plaid J | Blue Plaid G | Matcha | Lock & Key | Two Olives on Toothpick
,v2-dumpling,ICON-45782322020609,Dumpling Embroidered Icon,,,low,No match - likely cut,0.6487,-1,Garlic | Watermelon | Peach | Volleyball | Tomato | Sushi Nigiri | Basketball | Sushi Roll | Lemon | Hot Dog | Taco | Lemon Slice
,e-cheetah-embroidered-icon,ICON-46172399632641,E Cheetah Embroidered Icon,,,low,No match - likely cut,0.9630,-1,Cheetah E | Cheetah F | Cheetah B | Cheetah R | Blue Plaid R | Blue Plaid E | Pink Plaid R | Cheetah P | Pink Plaid E | Blue Plaid B | Blue Plaid G | Cheetah H
,e-cross-stitch-black-embroidered-icon,ICON-45923677667585,E Cross Stitch Black Embroidered Icon,,,low,No match - likely cut,0.9448,-1,Cross Stitch K | Cross Stitch Z | Cross Stitch A | Cross Stitch E | Cross Stitch F | Cross Stitch R | Cross Stitch S | Cross Stitch G | Cross Stitch P | Cross Stitch L | Cross Stitch Y | Cross Stitch X
,e-cross-stitch-red-embroidered-icon,ICON-45923620716801,E Cross Stitch Red Embroidered Icon,Cross Stitch E,1iYuk5N0Zk_txLVYLL7S3-xkYHBPAcsYX,high,High confidence,0.9439,3,Cross Stitch K | Cross Stitch Z | Cross Stitch A | Cross Stitch E | Cross Stitch F | Cross Stitch R | Cross Stitch S | Cross Stitch G | Cross Stitch P | Cross Stitch L | Cross Stitch V | Cross Stitch X
,earmuffs-embroidered-icon,ICON-46892775833857,Earmuffs Embroidered Icon,,,high,No match - likely cut,0.6143,-1,Taurus | Ring | Pepper | Cherries | Libra | Aries | Smiley Face | Capricorn | Pisces | Scorpio | Ski Goggles | Virgo
,v2-egg,ICON-45782322118913,Egg Embroidered Icon,,,low,No match - likely cut,0.9000,-1,Egg | Japan Flag | Cowboy Hat | Olive | Brown Sunglasses | Oyster | Yacht Flag I | Round Evil Eye | Life Preserver | Boston Cannoli | Pointed Evil Eye | Donut
,v2-eggplant,ICON-45782322217217,Eggplant Embroidered Icon,,,low,No match - likely cut,0.7957,-1,Eggplant | Pepper | Stocking | California Border | Banana | Tomato | Chicago Hot Dog Script | New York Hot Dog | Chicago Hot Dog Print | Bikini | Lemon | Brown Mushroom
,v2-elbow-pasta,ICON-45782322315521,Elbow Pasta Embroidered Icon,,,low,No match - likely cut,0.6971,-1,Bandana U | Bandana J | Cheetah U | Bandana S | Cheetah G | Chicago Hot Dog Print | Bandana C | Blue Plaid U | Horseshoe | Cheetah C | Pink Plaid Q | Cheetah J
,english-bulldog-embroidered-icon,ICON-45851590263041,English Bulldog Embroidered Icon,,,low,No match - likely cut,0.8455,-1,English Bulldog | Tan Frenchie | Westie | Ski English Bulldog | Brussels Griffon | Tan and Dark Grey Frenchie | Dark Grey Frenchie | Chow Chow | Black Pug | Fluffy White Dog | White and Grey Frenchie | Fluffy Brown Dog
,v2-envelope,ICON-45782322413825,Envelope Embroidered Icon,,,low,No match - likely cut,0.7162,-1,Envelope | Needlepoint | Diamond | Japan Flag | Yacht Flag O | Pink Suitcase | Ace of Hearts | Chicago Flag | Coffee | Jack of Hearts | California Flag | Boston Tote
,espresso-1-embroidered-icon,ICON-46316009259265,Espresso 1 Embroidered Icon,,,low,No match - likely cut,0.8712,-1,Espresso | Spicy Marg | Coffee | Negroni | Nantucket Basket | Plane Window | Boston Dunkin | Cowgirl Hat | LA Smoothie | Ice Cream | Charleston Iced Tea | Swirl Ice Cream
,v2-espresso-martini,ICON-45782322512129,Espresso Martini Embroidered Icon,,,low,No match - likely cut,0.8876,-1,Espresso Martini | Cosmopolitan | Margarita | Christmas Cocktail | Martini | Red Wine | Aperol Spritz | White Wine | Ralph's Iced Coffee | Champagne Glasses | LA Smoothie | Negroni
,v2-evil-eye1,ICON-45782322610433,Evil Eye1 Embroidered Icon,,,low,No match - likely cut,0.8237,-1,Pointed Evil Eye | 8 Ball | Round Evil Eye | Egg | Japan Flag | Bandana Y | Bandana O | World Cup 26 Soccer Ball | Football | Smile Pancakes | Bandana Q | Bandana F
,v2-evil-eye2,ICON-45784346165505,Evil Eye2 Embroidered Icon,,,low,No match - likely cut,0.8409,-1,Round Evil Eye | 8 Ball | Pointed Evil Eye | Bandana O | Yacht Flag I | Japan Flag | Smile Pancakes | Donut | Caviar | Blue Plaid O | Egg | Bandana Q
,example-t-shirt,ICON-45782323495169,Example T-Shirt Embroidered Icon,,,low,No match - likely cut,0.5754,-1,I heart NY Shirt | USA WC Jersey | Canada WC Jersey | Button Down Shirt | Mexico WC Jersey | Lingerie | Boston Baseball Cap | Chicago Baseball Cap | Yacht Flag Q | Yacht Flag G | Yacht Flag Y | One Piece Swimsuit
